,ParkCode,Month,Visitors,StateCode,Full Name,Lat,Lon
351,hagr,3,5449,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
352,hagr,4,4971,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
353,hagr,5,6008,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
354,hagr,6,7997,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
355,hagr,7,8295,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
356,hagr,8,4409,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
357,hagr,9,5381,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
358,hagr,10,10485,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
359,hagr,11,8782,NY,Hamilton Grange National Memorial,40.81871605,-73.94878487
360,hofr,0,780,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
361,hofr,1,4732,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
362,hofr,2,6914,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
363,hofr,3,11968,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
364,hofr,4,15976,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
365,hofr,5,18420,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
366,hofr,6,16516,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
367,hofr,7,17913,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
368,hofr,8,17791,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
369,hofr,9,21164,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
370,hofr,10,9760,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
371,hofr,11,5175,NY,Home Of Franklin D Roosevelt National Historic Site,41.76639758,-73.92516857
372,mava,0,100,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
373,mava,1,150,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
374,mava,2,150,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
375,mava,3,474,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
376,mava,4,1555,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
377,mava,5,3535,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
378,mava,6,4472,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
379,mava,7,3896,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
380,mava,8,2433,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
381,mava,9,2689,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
382,mava,10,583,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
