UnitCode,Month,Visitors
WEFA,8,4180
WEFA,9,5297
WEFA,10,1150
WEFA,11,1025
BICY,0,86391
BICY,1,183754
BICY,2,112730
BICY,3,67562
BICY,4,62298
BICY,5,49683
BICY,6,49956
BICY,7,53820
BICY,8,66352
BICY,9,75219
BICY,10,99814
BICY,11,99892
BISC,0,50873
BISC,1,59754
BISC,2,76685
BISC,3,64172
BISC,4,79779
BISC,5,65173
BISC,6,60239
BISC,7,46191
BISC,8,46723
BISC,9,38582
BISC,10,59948
BISC,11,60403
CANA,0,29020
CANA,1,211401
CANA,2,162987
CANA,3,195898
CANA,4,246616
CANA,5,200381
CANA,6,162947
CANA,7,165527
CANA,8,138980
CANA,9,118089
CANA,10,129264
CANA,11,123012
CASA,0,5092
CASA,1,61948
CASA,2,96568
CASA,3,72194
CASA,4,58673
CASA,5,60200
CASA,6,75495
CASA,7,43197
CASA,8,27316
CASA,9,39668
CASA,10,59650
CASA,11,73394
CUIS,0,268
CUIS,1,3290
CUIS,2,8362
CUIS,3,7432
CUIS,4,6430
CUIS,5,4803
CUIS,6,5194
CUIS,7,2748
CUIS,8,2030
CUIS,9,5536
CUIS,10,4959
CUIS,11,2852
DESO,0,2589
DESO,1,25594
DESO,2,26550
DESO,3,14485
DESO,4,15011
DESO,5,15185
DESO,6,11831
DESO,7,14270
DESO,8,8373
DESO,9,15162
DESO,10,18987
DESO,11,19843
DRTO,0,6179
DRTO,1,6937
DRTO,2,7417
DRTO,3,7720
DRTO,4,8124
DRTO,5,8041
DRTO,6,7692
DRTO,7,6658
DRTO,8,4694
DRTO,9,4432
DRTO,10,5336
DRTO,11,5970
EVER,0,85838
EVER,1,96953
EVER,2,146859
EVER,3,131278
EVER,4,77435
EVER,5,68267
EVER,6,63394
EVER,7,80177
EVER,8,60469
EVER,9,70222
EVER,10,103643
EVER,11,133765
FOCA,0,6243
FOCA,1,19719
FOCA,2,23162
FOCA,3,20476
FOCA,4,20584
FOCA,5,12293
FOCA,6,11997
FOCA,7,13260
FOCA,8,7500
FOCA,9,5600
FOCA,10,12629
FOCA,11,34195
FOMA,0,20241
FOMA,1,32131
FOMA,2,79235
FOMA,3,57376
FOMA,4,62356
FOMA,5,62567
FOMA,6,86658
FOMA,7,76275
FOMA,8,25856
FOMA,9,32560
FOMA,10,38194
FOMA,11,20339
GUIS,0,120594
GUIS,1,299043
GUIS,2,495965
GUIS,3,564302
GUIS,4,699278
GUIS,5,561638
GUIS,6,621752
GUIS,7,569383
GUIS,8,473992
GUIS,9,412684
GUIS,10,451902
GUIS,11,329707
TIMU,0,69470
TIMU,1,78119
TIMU,2,116813
TIMU,3,117529
TIMU,4,132210
TIMU,5,128431
TIMU,6,141200
TIMU,7,85058
TIMU,8,72852
TIMU,9,94523
TIMU,10,90214
TIMU,11,78646
ANDE,0,1106
ANDE,1,6753
ANDE,2,12810
ANDE,3,10645
ANDE,4,14245
ANDE,5,6824
ANDE,6,9047
ANDE,7,5620
ANDE,8,6914
ANDE,9,10764
ANDE,10,9872
ANDE,11,9035
CHAT,0,204389
CHAT,1,133850
CHAT,2,202255
CHAT,3,244182
CHAT,4,369867
CHAT,5,439384
CHAT,6,301019
CHAT,7,391718
CHAT,8,332490
CHAT,9,281956
CHAT,10,321310
CHAT,11,170713
CHCH,0,51862
CHCH,1,62526
CHCH,2,89200
CHCH,3,88562
CHCH,4,93698
CHCH,5,93095
CHCH,6,97942
CHCH,7,87375
CHCH,8,87183
CHCH,9,75900
CHCH,10,78218
CHCH,11,71597
CUIS,0,268
CUIS,1,3290
CUIS,2,8362
CUIS,3,7432
CUIS,4,6430
CUIS,5,4803
CUIS,6,5194
CUIS,7,2748
CUIS,8,2030
CUIS,9,5536
CUIS,10,4959
CUIS,11,2852
FOFR,0,10646
FOFR,1,16250
FOFR,2,28702
FOFR,3,19387
FOFR,4,18538
FOFR,5,21174
FOFR,6,21681
FOFR,7,14888
FOFR,8,9865
FOFR,9,18208
FOFR,10,19271
FOFR,11,13720
FOPU,0,8812
FOPU,1,28565
FOPU,2,21449
FOPU,3,42515
FOPU,4,40183
FOPU,5,37945
FOPU,6,43460
FOPU,7,33792
FOPU,8,26312
FOPU,9,35340
FOPU,10,30177
FOPU,11,25740
JICA,0,279
JICA,1,3467
JICA,2,4610
JICA,3,6796
JICA,4,3562
JICA,5,4874
JICA,6,4122
JICA,7,2834
JICA,8,10839
JICA,9,2786
JICA,10,3736
JICA,11,2884
KEMO,0,99433
KEMO,1,123121
KEMO,2,253424
KEMO,3,431357
KEMO,4,119569
KEMO,5,308321
KEMO,6,318751
KEMO,7,240941
KEMO,8,224842
KEMO,9,252719
KEMO,10,133205
KEMO,11,115367
MALU,0,43730
MALU,1,83166
MALU,2,47301
MALU,3,61204
MALU,4,62300
MALU,5,62550
MALU,6,85000
MALU,7,72349
MALU,8,42500
MALU,9,62550
MALU,10,71000
MALU,11,68000
OCMU,0,2601
OCMU,1,7754
OCMU,2,15866
OCMU,3,15623
OCMU,4,12824
OCMU,5,11373
OCMU,6,9642
OCMU,7,10331
OCMU,8,28184
OCMU,9,11079
OCMU,10,14163
OCMU,11,7485
HALE,0,53523
HALE,1,83666
HALE,2,93074
HALE,3,87763
HALE,4,85159
HALE,5,85338
HALE,6,86267
HALE,7,84618
HALE,8,98856
HALE,9,73204
HALE,10,72075
HALE,11,90851
HAVO,0,128836
HAVO,1,120931
HAVO,2,113452
HAVO,3,103247
HAVO,4,102792
HAVO,5,113015
HAVO,6,133249
HAVO,7,125357
HAVO,8,92720
HAVO,9,96054
HAVO,10,107457
HAVO,11,131266
KAHO,0,14780
KAHO,1,25457
KAHO,2,25804
KAHO,3,19569
KAHO,4,15169
KAHO,5,23220
KAHO,6,23028
KAHO,7,15711
KAHO,8,12995
KAHO,9,14796
KAHO,10,16334
KAHO,11,26058
KALA,0,5913
KALA,1,5824
KALA,2,5834
KALA,3,5714
KALA,4,5713
KALA,5,5892
KALA,6,5828
KALA,7,5775
KALA,8,5775
KALA,9,5711
KALA,10,5677
KALA,11,5745
PUHE,0,5620
PUHE,1,14122
PUHE,2,12879
PUHE,3,12494
PUHE,4,11663
PUHE,5,9857
PUHE,6,10789
PUHE,7,11845
PUHE,8,9684
PUHE,9,11269
PUHE,10,10728
PUHE,11,12623
PUHO,0,3767
PUHO,1,38282
PUHO,2,40367
PUHO,3,38050
PUHO,4,36695
PUHO,5,40720
PUHO,6,40573
PUHO,7,35051
PUHO,8,35197
PUHO,9,36543
PUHO,10,34560
PUHO,11,34605
VALR,0,127852
VALR,1,122379
VALR,2,144685
VALR,3,139925
VALR,4,137527
VALR,5,150832
VALR,6,159687
VALR,7,147461
VALR,8,144656
VALR,9,149796
VALR,10,136920
VALR,11,154815
CIRO,0,188
CIRO,1,188
CIRO,2,302
CIRO,3,2270
CIRO,4,15628
CIRO,5,23582
CIRO,6,13936
CIRO,7,16659
CIRO,8,12082
CIRO,9,7896
CIRO,10,3885
CIRO,11,2695
CRMO,0,102
CRMO,1,5134
CRMO,2,6938
CRMO,3,15959
CRMO,4,28666
CRMO,5,51116
CRMO,6,55562
CRMO,7,47304
CRMO,8,40804
CRMO,9,10636
CRMO,10,6556
CRMO,11,3447
HAFO,0,4
HAFO,1,678
HAFO,2,2090
HAFO,3,2001
HAFO,4,3109
HAFO,5,3915
HAFO,6,4026
HAFO,7,3166
HAFO,8,2170
HAFO,9,1296
HAFO,10,753
HAFO,11,560
MIIN,0,0
MIIN,1,57
MIIN,2,588
MIIN,3,391
MIIN,4,613
MIIN,5,2920
MIIN,6,4264
MIIN,7,3464
MIIN,8,856
MIIN,9,430
